0,Emri,EmriTregtar,NrIBiznesit,Sektori,LlojiIbiznesit,Komuna,Popullsia2020,Data,NumriIpunetoreve,%astotalGDP(10 max),%assectorGDP(10 max),UljeApoNgritje
1,Xhevahire E. Maloku B.I.,DPH RESTAURANT SOLLO FRESH,811559816,Restaurante dhe aktivitete sherbyese,Biznes individual,Podujeve,"94,864",15-09-2020,25,-3.96,-4.74,0
2,Industria E Miellit Vellezerit Mustafa SH.P.K.,///,811168237,Agrikultura,Biznes individual,Gllogoc,"60,970",30-10-2020,7,-0.78,-0.05,0
3,Go Rex Energy SH.P.K.,Go Rex Energy SHPK,811457086,Tregti e pijeve,Biznes individual,Prizren,"186,375",22-10-2020,45,-1.62,-1.03,0
4,Poliklinika PLUS SH.P.K.,///,811566796,Stomatologji,Biznes individual,Mitrovice,"75,502",22-10-2020,8,-3.04,-2.98,0
5,London Group SH.P.K.,///,811558529,Furre e bukes,Biznes individual,Istog,"40,728",30-10-2020,5,2.89,2.78,0
6,AVENUE APARTMENTS SH.P.K.,AVENUE APARTMENTS,811360677,Hotele dhe akomodimi,Biznes individual,Prishtine,"208,230",26-10-2020,7,-4.32,-3.15,0
7,Ilir Xharra B.I.,SOCIALIX SMM,811497107,Marketing,Biznes individual,Gjakove,"98,476",27-10-2020,12,-0.69,-0.72,0
8,Anton Nrecaj B.I.,MedicaLine,811458448,Farmaceutike,Biznes individual,Prishtine,"208,230",15-09-2020,3,5.9,5.8,0
9,PYC L.L.C.,///,811505463,Restaurante dhe aktivitete sherbyese,Biznes individual,Prishtine,"208,230",27-10-2020,35,-6.32,-4.74,0
10,PH Enterprise SH.P.K.,PH Enterprise,811339086,Stomatologji,Biznes individual,Prishtine,"208,230",28-10-2020,5,-2.56,-2.98,0
11,Maksut Krasniqi B.I.,///,811561522,Porodhimi me shumice,Biznes individual,Vushtrri,"73,207",26-10-2020,40,-3.04,-3.21,0
12,Agim Hysenaj B.I.,"N.P.T. ,,NUHA""",811028738,Porodhimi me shumice,Biznes individual,Shtime,"27,425",15-09-2020,38,-3.31,-3.21,0
13,Eurolona & Feha SH.P.K.,///,810711889,Agrikultura,Biznes individual,Lipjan,"57,707",26-10-2020,11,-0.07,-0.05,0
14,Arlinda Muqa B.I.,FIGHTER BOKS,811457060,Aktivitete sportive,Biznes individual,Peje,"99,921",23-10-2020,8,-5.32,-4.1,0
15,GOLDEN EAGLE SH.P.K.,GOLDEN EAGLE,811484138,Tregti e pijeve,Biznes individual,Suhareke,"63,228",10/4/2020,37,-1.54,-1.03,0
16,Musa Ferizaj B.I.,///,811342659,Tekstil,Biznes individual,Istog,"40,728",27-10-2020,10,-2.26,-2.14,0
17,NORA 1964 SH.P.K.,NORA 1964,811558660,Furre e bukes,Biznes individual,Peje,"99,921",27-10-2020,6,2.67,2.78,0
18,Lumturije Gj. Belegu B.I.,Fast Food SURPRISE,811509598,Sherbime tjera ushqyese,Biznes individual,Peje,"99,921",30-10-2020,14,-1.93,-1.74,0
19,Grand Group BHL L.L.C.,Grand Boutique Hotel,811354068,Hotele dhe akomodimi,Biznes individual,Prishtine,"208,230",10/4/2020,18,-4.54,-3.15,0
20,OLYMPIA GYM SH.P.K.,OLYMPIA GYM,811434331,Palestra e fitnesit,Biznes individual,Ferizaj,"108,610",27-10-2020,6,-5.42,-3.5,0
21,Merhana SejdiÄ B.I.,SWISs TEX MEKA,811498759,Porodhimi me shumice,Biznes individual,Prizren,"186,375",22-10-2020,26,-2.45,-3.21,0
22,Sajni Salihi B.I.,///,811028952,Agrikultura,Biznes individual,Shtime,"27,425",26-10-2020,20,-0.02,-0.05,0
23,KF Shkendija Hajvali SH.P.K.,KF Shkendija Hajvali,811445776,Aktivitete sportive,Biznes individual,Prishtine,"208,230",27-10-2020,12,-5.32,-4.1,0
24,Shpat Demaj B.I.,///,810015025,Porodhimi me shumice,Biznes individual,Gjilan,"93,450",27-10-2020,41,-2.59,-3.21,0
25,STAR NETWORK L.L.C.,STAR NETWORK,811500801,Aktivitete sportive,Biznes individual,Prishtine,"208,230",22-10-2020,6,-5.43,-4.1,0
26,Elvane Sulejmani B.I.,Omari Keoni,811550913,Tekstil,Biznes individual,Ferizaj,"108,610",28-10-2020,14,-2.26,-2.14,0
27,Plot Shnete L.L.C.,MTA Plot Shnete,811501172,Aktivitete spitalore,Biznes individual,Prishtine,"208,230",27-10-2020,27,7.8,6.28,0
28,Optika NEZIRI SH.P.K.,Optika NEZIRI,811365792,Stomatologji,Biznes individual,Gjakove,"98,476",20-10-2020,10,-3.04,-2.98,0
29,Liridon Lutolli B.I.,CITY GRILL ELA,811512880,Restaurante dhe aktivitete sherbyese,Biznes individual,Podujeve,"94,864",22-10-2020,15,-2.14,-4.74,0
30,ALTO METAL SH.P.K.,ALTO METAL,811500562,Porodhimi me shumice,Biznes individual,Fushe Kosove,"38,944",26-10-2020,21,-3.31,-3.21,0
31,Amir Jakupi B.I.,"U.P. "" UTILIS """,810985393,Agjensione lajmesh,Biznes individual,Prizren,"186,375",27-10-2020,25,1.3,1.3,0
32,BARILEVA REISEN SH.P.K.,///,811462986,Transporti urbane,Biznes individual,Prishtine,"208,230",10/4/2020,10,-2.09,-2.12,0
